keyword,page,position,id,type,name,brand,averageRating,shortDescription,thumbnailUrl,price,currencyUnit
canned food,1,41,12TJ4LHZGKM8,Canned & Jarred Meats,"Carmela Chicken Sausage and Bouillion, Natural Smoke Flavor Added, 5 oz Can",Carmela Home,4.0,"Carmela Chicken Sausage and Bouillon, Natural Smoke Flavor Added, 5 oz Can, is a compact yet flavor-packed pantry essential that brings the comforting taste of Puerto Rican tradition to kitchens everywhere. Designed for convenience without compromising on taste, this product is a go-to choice for quick meals, emergency food storage, or simply adding a savory boost to your favorite recipes. Each 5 oz can contain tender chicken sausage bites immersed in a rich, seasoned bouillon. The sausage is made from mechanically separated chicken and infused with a carefully crafted blend of spices, including garlic powder, onion powder, chili pepper, and natural smoke flavor. This combination delivers a warm, smoky, and slightly peppery profile that s both satisfying and versatile. Whether you re preparing a hearty breakfast, a quick lunch, or a comforting dinner, Carmela Chicken Sausage and Bouillon adds depth and flavor with minimal effort. The product s ingredients reflect a balance between flavor and shelf stability: mechanically separated chicken, water, salt, corn syrup solids, dextrose, hydrolyzed corn, torula and brewer s yeast, wheat gluten, soy protein, sugar, modified corn starch, onion powder, garlic powder, spices, disodium inosinate, disodium guanylate, chili pepper, natural smoke flavor, natural flavorings, sodium erythorbate, and sodium nitrite. While it contains common allergens like soy and wheat, it s free from artificial preservatives and designed to maintain its quality over time.",https://i5.walmartimages.com/seo/Carmela-Chicken-Sausage-and-Bouillion-5-oz-Can_bf4760fa-e4d2-48e3-96cb-b9d3c2ace189.71bcd32d1584b27bf7779f19a86ffb86.jpeg,1.8,USD
canned food,1,37,1RJTXICD2NJ6,Cooking Sauces & Marinades,"Manwich Salsa Sloppy Joe Sabor Intenso, Salsa Enlatada, 16 oz.",Manwich,4.3,"La salsa Manwich Bold Sloppy Joe realza el sabor cido del plato favorito de todos, deliciosamente desordenado. Elaborada con una base de tomate y condimentos atrevidos, la salsa Manwich Bold Sloppy Joe no solo es perfecta para tu pr ximo s ndwich Sloppy Joe, sino que tambi n es excelente con tacos, pastel de carne y salsas para fiestas. Simplemente mezcle esta deliciosa salsa para s ndwich con carne molida de res o pavo bien cocido, sirva y disfrute. Esta lata de salsa de 16 onzas es f cil de almacenar en la despensa. La salsa Sloppy Joe de Manwich tiene el sabor que hace sonre r a todos. Pruebe todas las variedades de salsa enlatada Manwich Sloppy Joe y haga de esta noche una noche Manwich.",https://i5.walmartimages.com/seo/Manwich-Sloppy-Joe-Sauce-Bold-Flavor-Canned-Sauce-16-oz_43be6f3c-e3e7-4cff-af40-8a2252220989.715d1b67d792778894108be6edfd6f97.png,1.43,USD
canned food,1,36,4HJTYPDSHRIR,Packaged Meals,"SpaghettiOs Super Mario Bros Canned Pasta with Meatballs, 15.6 oz Can",SpaghettiOs,4.3,"Dig into a dish the whole family will enjoy with SpaghettiOs Super Mario Bros Canned Pasta with Meatballs. Each delicious bite of this canned pasta with meatballs features the classic o-shaped pasta you know and love, plus Super Mario pasta shapes to add some fun to lunchtime. This canned pasta puts a yummy spin on original SpaghettiOs with the addition of savory meatballs, making it a delicious part of any meal. One cup of SpaghettiOs with meatballs contains 1/2 cup of vegetables and 11 grams of protein as part of a lunch. Break out this convenient canned food when you're craving lunch, or prepare it as an entree for a fun kids lunch. This microwave pasta is ready in as little as 3 minutes. Just heat in a microwave-safe bowl on high for 1 1/2 to 2 minutes, let stand for 1 minute, then stir. Or, cook up this fun-loving pasta on the stove. The can is recyclable for easy disposal. Add character to every bite with SpaghettiOs: the neat round pasta you can eat with a spoon. In addition to Meatballs Super Mario Bros pasta, SpaghettiOs offers a variety of unique pasta in fun shapes and varieties, including SpaghettiOs Original, and more! This product is packaged in a metal can, and is shelf-stable.",https://i5.walmartimages.com/seo/SpaghettiOs-Super-Mario-Bros-Canned-Pasta-with-Meatballs-15-6-oz-Can_c013fee1-15b0-406a-9a2d-566162bf25e9.f3b1b8c695aeee7227bc3bfee024968b.jpeg,1.23,USD
canned food,2,41,2H65LE3XOHQW,Canned & Jarred Meats,"Van Camp's Chili with Beans, Canned Chili, 15 oz",Van Camp's,4.3,"VAN CAMP'S has been making delicious beans for more than 140 years. Pick up a versatile can of VAN CAMP'S Chili with Beans and be prepared to cook up a delicious dish or snack in minutes. A hearty helping of beef and pork are simmered in a special blend of beans, vine-ripened tomatoes and spices for a classic, Southern favorite. Use this can of chili with beans and ground beef in your favorite casserole, on top of hot dogs or baked potatoes or mixed into a dip to serve as an afternoon snack. VAN CAMP'S Chili With Beans is an excellent source of protein and made with all-natural* beef and pork with no preservatives. Quickly prepare by heating on the stovetop or microwaving for an easy weeknight dish. * Minimally processed with no artificial ingredients",https://i5.walmartimages.com/seo/Van-Camp-s-Chili-with-Beans-Canned-Chili-15-oz_a8c7a796-bbf9-4ed8-a3fe-a11405e936ce.4ab8bc5163108fecc7d623de3c0e39db.jpeg,2.64,USD
canned food,1,39,6LIIXTGU0FI5,Canned & Jarred Meats,"Armour Star Chili with Beans, Canned Food, 14 OZ",Armour,4.0,"Armour Star Chili with Beans delivers a quick and easy canned food meal with great flavor. The canned meal offers a delicious chili recipe made with pork, beef and beans. This microwave chili is ideal for topping nachos, hot dogs, rice and more, or simply top it with grated cheese, chopped onions and sour cream for an easy meal. Heat the canned chili with beans on the stove top or in the microwave in 10 minutes or less. The can of chili is ideal for picnics, camping, road trips and more. Make any time Armour Star time.",https://i5.walmartimages.com/seo/Armour-Star-Chili-with-Beans-Canned-Food-14-OZ_76d66b52-07e7-40bc-a16b-e05deb6d8e44.829ff6d99402e45be1c8faf33bdde8d7.jpeg,1.64,USD
canned food,2,37,4WJOP1OH5OZO,Canned & Jarred Beans & Legumes,"Bush's Traditional Refried Beans, Canned Mashed Pinto Beans, 16 oz Can",BUSH'S,4.5,"Cooking and creativity go hand in hand with Bush's Traditional Refried Beans. Our canned refried beans don't stop at offering plant-based protein and fiber they open up a world of versatility and inspiration. We've already chosen plump, tender pinto beans and mashed and seasoned them to perfection. All you have to do is add this pantry staple to your recipe for a homemade meal that tastes like it's been cooking all day, even when it comes together in just a few minutes. Bush's Traditional Refried Beans are gluten free, cholesterol free, a good source of fiber, and contain 7g of protein per serving (See nutrition information for sodium content). Only the best goes into Bush's Beans. Made with perfectly mashed and seasoned pinto beans, they're a rich, flavor-filled addition to tacos, burritos, quesadillas, dips and more. So while you may not know exactly what your next creation is going to be, you can rest assured it's going to be great.",https://i5.walmartimages.com/seo/Bush-s-Traditional-Refried-Beans-Canned-Mashed-Pinto-Beans-16-oz-Can_30ee194a-9b85-45dd-a03a-989cf2504380.c81447a07874f3935839394783126275.jpeg,1.64,USD
sofa,4,41,3NVQK05XY1AC,Sofas & Couches,"Aiho Convertible Sofa Couch with Thickend Armrest ,3 Seater Sofa for Living Room,Gray",Aiho,4.1,"Aiho - We exist because you need a better home. The Aiho comfort back sofa, a paragon of plush repose, ushers in a cloud-like levity that seems to cradle you. Its robust wooden legs, sourced from the finest timbers, proffer unrivaled stability and steadfast support, empowering you to sink into complete relaxation, unburdened by a single worry. Even when the summer sun beats down with relentless fervor, our meticulously curated breathable linen upholstery comes to the rescue. This fabric, a marvel of textile engineering, wicks away heat and moisture, guaranteeing peak comfort. Whether it's a lazy reading session, binge-watching your favorite shows, or just decompressing post a long, arduous day, the Aiho Sofa's fabric ensures every relaxation moment is a revitalizing, ultra-comfortable escape. Like it ? Explore more! Looking for a cozy living room sanctuary ? Check out Aiho's matching sofa collections create your dream lounge haven. For more product available, kindly refer to the following: Explore more Aiho Sofa Couch",https://i5.walmartimages.com/seo/Aiho-Convertible-Sofa-Couch-with-Thickend-Armrest-3-Seater-Sofa-for-Living-Room-Gray_4be8a575-cedb-4d11-9df4-70504982ee05.9557da3c3079d448f296ea31007c7022.jpeg,139.99,USD
tablet,4,41,588KYIAI468I,Tablet Computers,"Lenovo Tab M9 TB310FU Tablet, 9"" HD, MediaTek MT6769V/CU Helio G80 (12 nm) Octa-core, 4 GB, 64 GB Storage, Android 12, Arctic Gray",Lenovo,4.4,Features,https://i5.walmartimages.com/seo/Lenovo-Tab-M9-9-IPS-400-nits-64GB-Android-12_1e163c5e-080b-4319-9ccb-6e23ba428da5.49804e5b8e8be66378bebf1ffc22a88a.jpeg,135.35,USD
canned food,2,39,62NRWC4CN92H,Canned & Jarred Meats,"SPAM With Real HORMEL Bacon, 7 G Protein per Serving, 12 oz Aluminum Can",SPAM,4.6,"SIZZLE PORK AND MMM! We took the great taste of SPAM Classic and kicked it up with savory cuts of real HORMEL bacon! Savory bacon and SPAM Classic are a match made in canned food heaven. The meat of many uses adds meaty goodness to classic dishes like omelets, mac and cheese or burgers and it ll elevate quesadillas, pasta or eggrolls to another level of Mmm. That s why its a global iconic brand! Fully cooked and shelf stable, it's craveable and versatile so it works great for hot family meals, cold lunches or bbqs! You can add it to breakfast, lunch and dinner and know you re getting the good stuff. It s made with simple ingredients and has 7 g of protein per serving. One 12 oz. aluminum can of SPAM with Real HORMEL Bacon. All trademarks, logos and images are owned by Hormel Foods Corporation, its subsidiaries and affiliates. Copyright Hormel Foods, LLC.",https://i5.walmartimages.com/seo/SPAM-With-Real-HORMEL-Bacon-7-G-Protein-per-Serving-12-oz-Aluminum-Can_0ac084ae-6aa2-4ed9-b7f6-d10fb0008284.e8f1a651d7155afdc2311133ac016a38.jpeg,3.88,USD
smartphone,3,41,4RO6TE14JSE3,Cell Phones,"Consumer Cellular Iris Connect, 32GB, Black - Smartphone",Consumer Cellular,3.1,"The IRIS Connect is an awesome device that's got everything you need and more. It's got a super-fast 2.0Ghz octa-core processor that makes using your phone a breeze. And the 6.5"" display is crystal-clear, so you'll love streaming videos and making video calls. Plus, the battery lasts up to 26 hours of all-day time, so you won't need to charge it all the time. The camera is amazing too, with a 13MP main camera and an 8MP selfie camera that'll make your pics look like they were taken by a pro. Plus, there's tons of space to store all your photos, videos and music with 32GB of onboard memory and the option to add up to 256GB more with a microSD card (sold separately). And the coolest part? It comes with the newest Android 13 Operating System, so you'll have access to all the latest apps and features. Overall, the IRIS Connect is a fantastic smartphone that's got everything you need and more.",https://i5.walmartimages.com/seo/Consumer-Cellular-Iris-Connect-32GB-Black-Smartphone_61949b78-940e-4b59-a292-38daeabc6ba1.25032c5cce963cd7b86a59aa768ee235.jpeg,73.0,USD
